timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1470908285822,107,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,107
1470908285932,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908285939,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908285946,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908285951,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908285958,7,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,7
1470908285966,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908285973,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908285993,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286006,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286014,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286022,8,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,8
1470908286035,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286041,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286051,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286059,8,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,8
1470908286072,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286082,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286088,10,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,10
1470908286103,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286114,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286120,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286126,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286132,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286143,7,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,7
1470908286161,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286168,7,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286180,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286189,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286195,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286202,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286209,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286218,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286223,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286228,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286233,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286238,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286243,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286250,12,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,12
1470908286262,8,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,8
1470908286272,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286279,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286285,7,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,7
1470908286293,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286299,6,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,6
1470908286307,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
1470908286313,4,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,4
1470908286318,5,HTTP Request,200,OK,Thread Group 1-1,text,true,18525,5
